osm_id,population,source,place,is_in,name,name_ps,longitude,latitude,geom_type
556706,5158113,N/A,N/A,N/A,New Zealand / Aotearoa,نیوزیلنډ,-4.9940253,-40.9258495,relation
571178,N/A,N/A,N/A,N/A,Kiribati,N/A,9.6640998,-3.373,relation
571747,N/A,N/A,N/A,N/A,Viti,N/A,-1.7909982,-17.102407,relation
571771,N/A,N/A,N/A,N/A,Ṃajeḷ,N/A,166.482571,9.646886,relation
571802,N/A,N/A,N/A,N/A,Micronesia,د میکرونزي فدرال ټاپوګان,150.1859541,5.558307,relation
571804,N/A,N/A,N/A,N/A,Naoero,ناورو,166.9348582,-0.528,relation
571805,N/A,N/A,N/A,N/A,Belau,N/A,132.9244698,5.5008145,relation
1124039,39050,N/A,N/A,N/A,Monaco,N/A,7.4710098,43.6342266,relation
1155955,N/A,N/A,N/A,N/A,Liechtenstein,N/A,9.5536939,47.159505,relation
1278736,32688,CIA World Databank II (+Yahoo images),N/A,N/A,Gibraltar,N/A,-5.3386582,36.1068963,relation
1311341,N/A,N/A,N/A,N/A,España,اسپانیا,-6.900898,35.7134257,relation
1428125,N/A,N/A,N/A,N/A,Canada,کاناډا,-96.6632582,62.5063863,relation
1473946,N/A,N/A,N/A,N/A,ישראל,اسرائيل,35.0812614,31.3945056,relation
1473947,112716599,N/A,N/A,N/A,مصر,مصر,30.8826314,26.9133795,relation
1520612,6000000,N/A,N/A,N/A,El Salvador,اېلسلوادور,-88.9090255,13.7014252,relation
1521463,17980803,N/A,N/A,N/A,Guatemala,ګواتمالا,-90.2891575,15.6900118,relation
1550322,N/A,N/A,N/A,N/A,Österreich — Schweiz / Suisse / Svizzera,N/A,9.6024422,47.4038783,relation
1558556,N/A,N/A,N/A,N/A,Niuē,N/A,-169.8621129,-19.0541612,relation
1628284,N/A,https://wiki.openstreetmap.org/wiki/Import/Catalogue/Kreisgrenzen_Deutschland_2005,N/A,N/A,Deutschland - Luxembourg / Luxemburg / Lëtzebuerg,N/A,6.3215733,49.7996396,relation
1656678,N/A,N/A,N/A,N/A,South Sudan جنوب السودان,سوېلي سوډان,29.6983875,7.8626845,relation
1674592,N/A,N/A,N/A,N/A,Italia - Slovenija,N/A,13.6470624,46.0519443,relation
1675252,N/A,N/A,N/A,N/A,Magyarország - Slovenija,N/A,16.35535,46.6762586,relation
1675337,N/A,N/A,N/A,N/A,Hrvatska - Slovenija,N/A,14.990629,45.9882266,relation
1741311,6605168,N/A,N/A,N/A,Србија,سربيا,20.9106517,44.2108652,relation
1857436,N/A,wikipedia & aproximation,N/A,N/A,Solomon Islands,N/A,162.8577611,-9.0276106,relation
1872673,N/A,N/A,N/A,N/A,Sāmoa,N/A,-172.1010547,-13.7576404,relation
1889339,N/A,N/A,N/A,N/A,Botswana,بوتسوانا,24.6862677,-22.3425722,relation
1964272,N/A,N/A,N/A,N/A,"Saint Helena, Ascension and Tristan da Cunha",N/A,-10.0230549,-24.13,relation
1983628,N/A,N/A,N/A,N/A,South Georgia and the South Sandwich Islands,N/A,-34.1222152,-56.5100487,relation
1993208,N/A,N/A,N/A,N/A,Bermuda,برمودا,-64.7671032,32.3191672,relation
1993867,3500,N/A,N/A,N/A,British Indian Ocean Territory,N/A,71.8661519,-6.3399078,relation
2067731,N/A,N/A,N/A,N/A,ประเทศไทย,تايلنډ,101.4903096,13.0388323,relation
2088990,N/A,N/A,N/A,N/A,Kosova / Kosovo,N/A,20.9021105,42.5654857,relation
2093234,N/A,N/A,N/A,N/A,Lesotho,N/A,28.2335431,-29.6243002,relation
